,Stock_Item_Key,Stock_Item,Color,Selling_Package,Buying_Package,Brand,Size_val,Lead_Time_Days,Quantity_Per_Outer,Is_Chiller_Stock,Tax_Rate,Unit_Price,Recommended_Retail_Price,Typical_Weight_Per_Unit
1,1,Void fill 400 L bag (White) 400L,NA,Each,Each,NA,400L,14,10,0,14.0,50.0,74.75,1.0
2,2,Void fill 300 L bag (White) 300L,NA,Each,Each,NA,300L,14,10,0,14.0,37.5,56.06,0.75
3,3,Void fill 200 L bag (White) 200L,NA,Each,Each,NA,200L,14,10,0,14.0,25.0,37.38,0.5
4,4,Void fill 100 L bag (White) 100L,NA,Each,Each,NA,100L,14,10,0,14.0,12.5,18.69,0.25
5,5,Air cushion machine (Blue),NA,Each,Each,NA,NA,20,1,0,20.0,1899.0,2839.01,10.0
6,6,Air cushion film 200mmx200mm 325m,NA,Each,Each,NA,325m,14,1,0,14.0,90.0,134.55,6.0
7,7,Air cushion film 200mmx100mm 325m,NA,Each,Each,NA,325m,14,1,0,14.0,87.0,130.07,5.0
8,8,Large  replacement blades 18mm,NA,Each,Each,NA,18mm,14,10,0,14.0,4.3,6.43,0.8
9,9,Small 9mm replacement blades 9mm,NA,Each,Each,NA,9mm,14,10,0,14.0,4.1,6.13,0.7
10,10,Packing knife with metal insert blade (Yellow) 18mm,NA,Each,Each,NA,18mm,14,5,0,14.0,2.4,3.59,0.5
11,11,Packing knife with metal insert blade (Yellow) 9mm,NA,Each,Each,NA,9mm,14,5,0,14.0,1.89,2.83,0.5
12,12,Permanent marker red 5mm nib (Red) 5mm,NA,Each,Each,NA,5mm,14,12,0,14.0,2.7,4.04,0.1
13,13,Permanent marker blue 5mm nib (Blue) 5mm,NA,Each,Each,NA,5mm,14,12,0,14.0,2.7,4.04,0.1
14,14,Permanent marker black 5mm nib (Black) 5mm,NA,Each,Each,NA,5mm,14,12,0,14.0,2.7,4.04,0.1
15,15,Tape dispenser (Blue),NA,Each,Each,NA,NA,20,10,0,20.0,32.0,47.84,1.0
16,16,Tape dispenser (Red),NA,Each,Each,NA,NA,20,10,0,20.0,32.0,47.84,1.0
17,17,Tape dispenser (Black),NA,Each,Each,NA,NA,20,10,0,20.0,32.0,47.84,1.0
18,18,Red and white urgent  heavy despatch tape  48mmx100m,NA,Each,Each,NA,48mmx100m,14,24,0,14.0,4.1,6.13,0.7
19,19,Red and white urgent despatch tape 48mmx75m,NA,Each,Each,NA,48mmx75m,14,24,0,14.0,3.7,5.53,0.5
20,20,Black and yellow heavy despatch tape 48mmx100m,NA,Each,Each,NA,48mmx100m,14,24,0,14.0,4.1,6.13,0.7
